时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展现费用,点赞,评论,收藏,关注,分享,互动量,平均互动成本,行动按钮点击量,行动按钮点击率,截图,保存图片,预告组件点击,直播预约人次,直播预约成本,搜索组件点击量,搜索组件点击转化率,平均搜后阅读笔记篇数,搜后阅读量,新增种草人群,新增种草人群成本,新增深度种草人群,新增深度种草人群成本,直播间支付订单量,直播间支付订单成本,直播间支付金额,直播间支付ROI,多转化人数（添加企微+私信咨询）,多转化成本（添加企微+私信咨询）,多转化人数（添加企微成功+私信留资）,多转化成本（私信留资+添加企微成功）
31/10/2024,1.02,4,1,25.00%,1.02,255,0,0,0,0,0,0,0,1,100.00%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,1.02,0,0
1/11/2024,106.46,1217,119,9.78%,0.89,87.48,5,1,5,4,0,15,7.1,1,0.84%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,106.46,0,0
2/11/2024,0,1,0,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,69.33,2111,245,11.61%,0.28,32.84,3,2,6,4,1,16,4.33,0,0.00%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,69.33,0,0
4/11/2024,625.71,25722,2603,10.12%,0.24,24.33,21,14,20,26,16,97,6.45,12,0.46%,2,6,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,22,28.44,0,0
5/11/2024,816.51,26424,2090,7.91%,0.39,30.9,17,12,14,18,12,73,11.19,12,0.57%,5,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,17,48.03,0,0
6/11/2024,1028.4,26086,1696,6.50%,0.61,39.42,16,2,17,18,10,63,16.32,4,0.24%,1,6,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,17,60.49,0,0
7/11/2024,585.08,27328,1986,7.27%,0.29,21.41,18,5,20,30,7,80,7.31,9,0.45%,9,21,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,17,34.42,0,0
8/11/2024,356.83,7605,500,6.57%,0.71,46.92,5,1,8,9,3,26,13.72,5,1.00%,1,3,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,8,44.6,0,0
9/11/2024,629.38,15184,863,5.68%,0.73,41.45,10,2,10,17,5,44,14.3,10,1.16%,2,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,20,31.47,0,0
10/11/2024,472.79,9413,524,5.57%,0.9,50.23,6,0,7,6,4,23,20.56,2,0.38%,2,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,6,78.8,0,0
11/11/2024,489.74,18575,1005,5.41%,0.49,26.37,9,2,16,8,7,42,11.66,2,0.20%,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,97.95,0,0
12/11/2024,617.76,9878,589,5.96%,1.05,62.54,4,0,7,9,1,21,29.42,4,0.68%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,13,47.52,0,0
13/11/2024,419.06,10901,619,5.68%,0.68,38.44,6,2,5,1,5,19,22.06,2,0.32%,2,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,83.81,0,0
14/11/2024,651.9,18250,979,5.36%,0.67,35.72,1,1,5,8,7,22,29.63,2,0.20%,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,9,72.43,2,325.95
15/11/2024,521.18,9965,481,4.83%,1.08,52.3,0,1,4,5,0,10,52.12,2,0.42%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,9,57.91,1,521.18
16/11/2024,297.09,9650,522,5.41%,0.57,30.79,3,0,5,2,0,10,29.71,1,0.19%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,148.54,0,0
17/11/2024,317.2,7344,459,6.25%,0.69,43.19,2,1,6,4,1,14,22.66,0,0.00%,2,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,317.2,0,0
18/11/2024,454.02,7603,403,5.30%,1.13,59.72,3,0,3,0,3,9,50.45,3,0.74%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,4,113.51,0,0
19/11/2024,580.33,6242,319,5.11%,1.82,92.97,3,0,5,2,0,10,58.03,4,1.25%,6,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,9,64.48,0,0
20/11/2024,560.32,8539,370,4.33%,1.51,65.62,1,1,7,0,2,11,50.94,3,0.81%,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,8,70.04,0,0
21/11/2024,104.64,1308,79,6.04%,1.32,80,0,0,1,2,0,3,34.88,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,52.32,0,0
22/11/2024,97.25,2921,147,5.03%,0.66,33.29,2,0,2,1,0,5,19.45,1,0.68%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,97.25,0,0
23/11/2024,185.8,3927,289,7.36%,0.64,47.31,1,0,4,2,0,7,26.54,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/11/2024,233.04,3363,238,7.08%,0.98,69.3,2,0,0,2,1,5,46.61,0,0.00%,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,116.52,0,0
25/11/2024,70.71,648,47,7.25%,1.5,109.12,0,0,0,0,0,0,0,1,2.13%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,1,70.71,0,0
28/11/2024,0,1,0,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/11/2024,0,1,0,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/2024,0,1,0,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2024,0,1,0,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2024,0,1,0,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2024,0,1,0,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/12/2024,0,1,1,100.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/01/2025,301.37,2178,227,10.42%,1.33,138.37,4,0,0,1,1,6,50.23,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,150.69,1,301.37
9/01/2025,307.47,3937,350,8.89%,0.88,78.1,2,1,1,1,2,7,43.92,3,0.86%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,9,34.16,1,307.47
10/01/2025,308.41,5113,393,7.69%,0.78,60.32,3,0,1,2,0,6,51.4,1,0.25%,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,154.21,1,308.41
11/01/2025,360.36,4932,373,7.56%,0.97,73.07,2,0,4,3,0,9,40.04,1,0.27%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,180.18,1,360.36
12/01/2025,372.48,5792,413,7.13%,0.9,64.31,1,1,4,2,1,9,41.39,2,0.48%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,6,62.08,0,0
13/01/2025,304.5,5093,360,7.07%,0.85,59.79,2,1,5,2,1,11,27.68,3,0.83%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,7,43.5,2,152.25
14/01/2025,308.15,4599,312,6.78%,0.99,67,3,0,2,1,0,6,51.36,1,0.32%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,7,44.02,7,44.02
15/01/2025,405.43,2627,211,8.03%,1.92,154.33,4,1,5,1,0,11,36.86,3,1.42%,1,1,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,81.09,4,101.36
16/01/2025,306.01,4536,326,7.19%,0.94,67.46,2,2,0,0,1,5,61.2,1,0.31%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,61.2,3,102
17/01/2025,303.39,6504,453,6.96%,0.67,46.65,4,2,3,2,1,12,25.28,1,0.22%,0,1,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,60.68,3,101.13
18/01/2025,309.96,4619,320,6.93%,0.97,67.11,5,1,0,3,2,11,28.18,3,0.94%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,3,103.32,1,309.96
19/01/2025,302.86,4376,302,6.90%,1,69.21,4,0,2,2,1,9,33.65,3,0.99%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,60.57,2,151.43
20/01/2025,302.92,5229,366,7.00%,0.83,57.93,1,0,3,3,0,7,43.27,0,0.00%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,5,60.58,1,302.92
21/01/2025,309.46,3652,229,6.27%,1.35,84.74,0,0,1,2,1,4,77.36,0,0.00%,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,3,103.15,0,0
22/01/2025,207.59,2910,179,6.15%,1.16,71.34,3,0,3,1,1,8,25.95,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,2,103.8,3,69.2
23/01/2025,0,3,0,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/01/2025,314.97,3744,193,5.15%,1.63,84.13,2,0,1,4,2,9,35,7,3.63%,2,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,10,31.5,2,157.49
